canonical_smiles,molregno,standard_relation,standard_value,standard_units
CC(C)(C(=O)c1cccnc1)c2cccnc2,86284,,11.180000000000000000000000000000,%
CN(CC(=O)O)NC(=O)C[C@H](N)C[C@@H](O)CN,127808,,12.630000000000000000000000000000,%
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,13758,,14.230000000000000000000000000000,%
CCN(CC)CCNC(=O)c1ccc(NS(=O)(=O)C)cc1,160578,,15.100000000000000000000000000000,%
COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,27278,,18.640000000000000000000000000000,%
CN1C=CNC1=S,421089,,18.990000000000000000000000000000,%
CN1N(C(=O)C=C1C)c2ccccc2,26820,,19.350000000000000000000000000000,%
CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc12,447948,,19.710000000000000000000000000000,%
ClCCN(CCCl)P1(=O)NCCCO1,8417,,20.080000000000000000000000000000,%
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35,6005,,20.830000000000000000000000000000,%
Cc1cc(C)nc(SCC(=O)N)n1,950646,,21.210000000000000000000000000000,%
COc1ccc(OC)c(c1)C(O)CN,140006,,21.990000000000000000000000000000,%
CC(N1CCCCC1)(C(=O)OC2CC[N+](C)(C)CC2)c3ccccc3,1267640,,21.990000000000000000000000000000,%
C[C@@](N1CCCCC1)(C(=O)O[C@H]2C[N+]3(CCCc4cncnc4)CCC2CC3)c5ccccc5,1265513,,22.380000000000000000000000000000,%
CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2,26280,,22.790000000000000000000000000000,%
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,34094,,22.790000000000000000000000000000,%
N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cc(F)c(F)cc3F,363589,,23.190000000000000000000000000000,%
Cc1cc(CCC[N+]23CCC(CC2)[C@H](C3)OC(=O)[C@@](C)(N4CCCCC4)c5ccccc5)ccn1,1265509,,23.190000000000000000000000000000,%
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc4cccnc24)CC1,6772,,24.030000000000000000000000000000,%
CN1C(=O)N(C)c2ncn(C)c2C1=O,16485,,24.450000000000000000000000000000,%
CC1N=C(N)N=C(N)N1c2ccc(Cl)cc2,150086,,25.310000000000000000000000000000,%
CC(=O)Nc1ccc(O)cc1,16450,,26.640000000000000000000000000000,%
NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,89526,,27.090000000000000000000000000000,%
CCCC[C@H](NC(=O)C)C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc4ccccc4)NC(=O)[C@H](Cc5cnc[nH]5)NC1=O)C(=O)O,1360388,,27.090000000000000000000000000000,%
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,1354,,27.550000000000000000000000000000,%
C[N+]1(C)CCC(C1)OC(=O)C(O)(C2CCCC2)c3ccccc3,675286,,28.950000000000000000000000000000,%
CC1(C)CNC(=O)c2sc(nc2C1)N3CCOCC3,805873,,29.900000000000000000000000000000,%
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,7736,,29.900000000000000000000000000000,%
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(=O)O,1788,,30.880000000000000000000000000000,%
COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,308174,,31.870000000000000000000000000000,%
C[C@H]([C@H](O)c1ccc(O)cc1)N2CCC(O)(CC2)c3ccccc3,174528,,31.870000000000000000000000000000,%
CS(=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl,700811,,32.370000000000000000000000000000,%
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCN(C2)C(=O)Cc3ccccc3,1279705,,32.880000000000000000000000000000,%
COC1=CC=C2C(=CC1=O)C(CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C,7767,,32.880000000000000000000000000000,%
CSc1ccc(cc1)N2C(=NC(=NC2(C)C)N)N,293487,,33.390000000000000000000000000000,%
CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,11143,,33.390000000000000000000000000000,%
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCN(C2)C(=O)c3ccccc3,1279704,,33.900000000000000000000000000000,%
OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,241,,34.420000000000000000000000000000,%
CCN1C=C(C(=O)O)C(=O)c2cc(F)c(nc12)N3CCNCC3,57175,,34.420000000000000000000000000000,%
CCOc1ccc(NC(=O)C)cc1,16498,,34.940000000000000000000000000000,%
COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,120674,,34.940000000000000000000000000000,%
